cids
175
NA
137
54675818
6997237
54675850
338
168965
NA
54675830
54693536
51387508
500
4409936
999
137
NA
446596
83887
NA
NA
23217
NA
NA
9084
NA
637542
NA
NA
242
49
227
5459842
54675842
7420
NA
NA
4678093
2969
NA
5488588
NA
11005
4075158
4419940
NA
86
54675871
NA
4592697
NA
NA
NA
23736
23737
5316899
NA
NA
985
955
NA
119389
73554357
NA
127
4693933
54675866
NA
955
NA
6581
25188
NA
4398339
53933915
NA
5699
NA
979
4328335
21953369
5957728
3920069
NA
4149208
118796915
5280450
5460332
4359436
NA
689043
1549111
3037032
57466721
4149208
444899
5460265
NA
445639
5460221
NA
92934
5461016
8158
19813251
15944652
10917
563
6992044
NA
71080
NA
6288
239
160603
145742
99288
NA
6971017
96
NA
71081
971
3716971
104775
264
NA
NA
5459847
86289540
5460660
6590
165337
5960
487
NA
104745
1032
22169126
NA
NA
NA
445858
54675858
8468
446284
25245749
NA
114781
7991
5461021
8050
637775
177747
NA
3660103
119389
154342
3541112
441
