pmid,bgcs
23913777,BGC0001137
22064543,BGC0001138
19164156;20232845;21825154;23157615;23361357,BGC0001140
22921072,BGC0001143
25415678,BGC0001147
25537663,BGC0001150
17400768;18291316,BGC0001152
24554531;21304647,BGC0001154
20232845;21825154;23157615,BGC0001156
24475038,BGC0001161
24475038,BGC0001162
24475038,BGC0001163
25255985,BGC0001178
25346446;18236486,BGC0001180
18957859,BGC0001185
25372119,BGC0001190
25831524,BGC0001202
26963294;25571861,BGC0001205
25730866,BGC0001206
25892546,BGC0001213
25763681,BGC0001216
25741696,BGC0001225
25865308,BGC0001228
20192828,BGC0001253
18805498;26496685,BGC0001256
21351751,BGC0001271
26505309,BGC0001288
26184239,BGC0001290
26496684,BGC0001292
26278892,BGC0001295
24120331,BGC0001298
26305803,BGC0001302
26270237,BGC0001303
26566170,BGC0001308
10.1002/anie.201509926,BGC0001330
10.1039/c5sc04027b,BGC0001338
10.1039/c6cc02130a,BGC0001339
26473393,BGC0001343
11562468;18498160,BGC0001345
27234886;20808316,BGC0001348
26805858,BGC0001357
27416025,BGC0001358
26648119;26905289,BGC0001359
27502607,BGC0001371
26754528,BGC0001381
,BGC0001382
26972702,BGC0001390
26853480,BGC0001397
26829473,BGC0001406
27195476,BGC0001409
11035722,BGC0001411
25510965,BGC0001413
28128551,BGC0001420
10.3389/fmicb.2017.00194,BGC0001433
15326518;15940739;21077936;22179067;27867014,BGC0001439
28452105;25769015,BGC0001440
28452105;14698035;10724015,BGC0001441
,BGC0001444
29434326,BGC0001448
,BGC0001458
10.1021/jo00103a011;26335778;29940102,BGC0001467
29983054;29507203;,BGC0001471
29983054;10.1021/ja00407a047,BGC0001473
29983054;5045467,BGC0001474
29361220;27994019,BGC0001480
28383583,BGC0001491
27531515,BGC0001502
29090939,BGC0001503
doi.org/10.1101/317362,BGC0001504
28418225,BGC0001523
28426198,BGC0001540
28544148,BGC0001559
29131568,BGC0001574
27999165,BGC0001584
unpublished,BGC0001592
