"","Precision","Recall","Balanced.Accuracy"
"Class: ARYL",0.7,0.94,0.92
"Class: BLS",1,0.93,0.97
"Class: FAAL",0.29,0.29,0.63
"Class: FAT",0.75,0.75,0.87
"Class: LACS",0.78,0.64,0.8
"Class: LUCIFERASE",1,1,1
"Class: MACS",1,0.83,0.92
"Class: NRPS",1,0.92,0.96
"Class: SACS",0.92,0.85,0.92
"Class: VLACSBILE",0.5,0.5,0.74
