"","Precision","Recall","F1","Balanced.Accuracy"
"Class: ARYL",0.78,1,0.88,0.95
"Class: BLS",1,1,1,1
"Class: FAAL",0.71,0.83,0.77,0.9
"Class: LACS",0.71,0.31,0.43,0.65
"Class: LUCIFERASE",1,0.8,0.89,0.9
"Class: MACS",0.8,0.5,0.62,0.75
"Class: NRPS",0.95,1,0.97,0.99
"Class: SACS",0.92,0.85,0.88,0.92
"Class: VLACSBILE",0.9,0.82,0.86,0.91
