"","Precision","Recall","Balanced.Accuracy"
"Class: bulky.mainly.phenyl.derivatives",0.72,0.93,0.92
"Class: cyclic.aliphatic",0.93,0.7,0.85
"Class: cysteine",0.75,0.86,0.92
"Class: polar.and.charged",0.89,0.89,0.93
"Class: small.hydrophilic",0.89,0.73,0.85
"Class: small.hydrophobic",0.82,0.82,0.89
"Class: tiny",1,0.77,0.88
