"","Precision","Recall","Balanced.Accuracy"
"Class: ARYL",0.7,0.98,0.92
"Class: BLS",1,1,1
"Class: FAAL",0.85,0.79,0.89
"Class: LACS",0.95,0.78,0.89
"Class: LUCIFERASE",1,0.9,0.95
"Class: MACS",1,0.5,0.75
"Class: NRPS",0.97,0.89,0.94
"Class: SACS",1,0.78,0.89
"Class: VLACSBILE",0.88,0.88,0.93
