"","Precision","Recall","F1","Balanced.Accuracy"
"Class: ARYL",0.75,0.93,0.83,0.91
"Class: BLS",1,1,1,1
"Class: FAAL",0.71,0.83,0.77,0.9
"Class: LACS",0.75,0.38,0.5,0.68
"Class: LUCIFERASE",1,0.8,0.89,0.9
"Class: MACS",0.8,0.5,0.62,0.75
"Class: NRPS",0.97,1,0.99,1
"Class: SACS",0.79,0.85,0.81,0.91
"Class: VLACSBILE",0.9,0.82,0.86,0.91
