"","Precision","Recall","F1","Balanced.Accuracy"
"Class: ARYL",0.38,0.71,0.5,0.78
"Class: BLS",1,1,1,1
"Class: FAAL",0.92,0.79,0.85,0.89
"Class: LACS",0.65,0.72,0.68,0.83
"Class: LUCIFERASE",0.83,0.83,0.83,0.91
"Class: MACS",1,0.36,0.53,0.68
"Class: NRPS",0.93,1,0.97,1
"Class: SACS",0.73,0.57,0.64,0.77
"Class: VLACSBILE",0.86,0.6,0.71,0.8
